Code,	Entity,	Type,	Year,	Pivot Field Values
CAN,	Canada,	Beer (% total alcohol),	1984,	48
CAN,	Canada,	Spirits (% total alcohol),	1984,	38
CAN,	Canada,	Wine (% total alcohol),	1984,	14
CAN,	Canada,	Beer (% total alcohol),	2014,	49
CAN,	Canada,	Spirits (% total alcohol),	2014,	26
CAN,	Canada,	Wine (% total alcohol),	2014,	25
DNK,	Denmark,  Beer (% total alcohol),	1929,	55
DNK,	Denmark,	Spirits (% total alcohol),	1929,	42
DNK,	Denmark,	Wine (% total alcohol),	1929,	4
DNK,	Denmark,	Beer (% total alcohol),	1964,	77
DNK,	Denmark,	Spirits (% total alcohol),	1964,	15
DNK,	Denmark,	Wine (% total alcohol),	1964,	8
DNK,	Denmark,	Beer (% total alcohol),	1984,	65
DNK,	Denmark,	Spirits (% total alcohol),	1984,	16
DNK,	Denmark,	Wine (% total alcohol),	1984,	19
DNK,	Denmark,	Beer (% total alcohol),	2014,	38
DNK,	Denmark,	Spirits (% total alcohol),	2014,	16
DNK,	Denmark,	Wine (% total alcohol),	2014,	47
FIN,	Finland,	Beer (% total alcohol),	1964,	21
FIN,	Finland,	Spirits (% total alcohol),	1964,	66
FIN,  Finland,	Wine (% total alcohol),	1964,	13
FIN,	Finland,	Beer (% total alcohol),	1984,	42
FIN,	Finland,	Spirits (% total alcohol)	,1984,	46
FIN,	Finland,	Wine (% total alcohol),	1984,	12
FIN,	Finland,	Beer (% total alcohol),	2014,	53
FIN,	Finland,	Spirits (% total alcohol),	2014,	26
FIN,	Finland,	Wine (% total alcohol),	2014,	21
FRA,	France,	Beer (% total alcohol),	1890,	6
FRA,	France,	Spirits (% total alcohol),	1890,	26
FRA,	France,	Wine (% total alcohol),	1890,	68
FRA,	France,	Beer (% total alcohol),	1929,	6
FRA,	France,	Spirits (% total alcohol),	1929,	12
FRA,	France,	Wine (% total alcohol),	1929,	82
FRA,	France,	Beer (% total alcohol),	1964,	10
FRA,	France,	Spirits (% total alcohol),	1964,	13
FRA,	France,	Wine (% total alcohol),	1964,	78
FRA,	France,	Beer (% total alcohol),	1984,	16
FRA,	France,	Spirits (% total alcohol),	1984,	16
FRA,	France,	Wine (% total alcohol),	1984,	69
FRA,	France,	Beer (% total alcohol),	2014,	19
FRA,	France,	Spirits (% total alcohol),	2014,	23
FRA,	France,	Wine (% total alcohol),	2014,	59
ITA,	Italy,	Beer (% total alcohol),	1890,	0
ITA,	Italy,	Spirits (% total alcohol),	1890,	5
ITA,	Italy,	Wine (% total alcohol),	1890,	95
ITA,	Italy,	Beer (% total alcohol),	1929,	1
ITA,	Italy,	Spirits (% total alcohol),	1929,	4
ITA,	Italy,	Wine (% total alcohol),	1929,	95
ITA,	Italy,	Beer (% total alcohol),	1964,	3
ITA,	Italy,	Spirits (% total alcohol),	1964,	10
ITA,	Italy,	Wine (% total alcohol),	1964,	87
ITA,	Italy,	Beer (% total alcohol),	1984,	8
ITA,	Italy,	Spirits (% total alcohol),	1984,	12
ITA,	Italy,	Wine (% total alcohol),	1984,	80
ITA,	Italy,	Beer (% total alcohol),	2014,	23
ITA,	Italy,	Spirits (% total alcohol),	2014,	11
ITA,	Italy,	Wine (% total alcohol),	2014,	65
JPN	Japan,	Beer (% total alcohol)	1964	20
JPN	Japan,	Spirits (% total alcohol)	1964	78
JPN	Japan	Wine (% total alcohol)	1964	2
JPN	Japan	Beer (% total alcohol)	1984	29
JPN	Japan	Spirits (% total alcohol)	1984	67
JPN	Japan	Wine (% total alcohol)	1984	4
JPN	Japan	Beer (% total alcohol)	2014	21
JPN	Japan	Spirits (% total alcohol)	2014	74
JPN	Japan	Wine (% total alcohol)	2014	5
NLD	Netherlands	Beer (% total alcohol)	1890	25
NLD	Netherlands	Spirits (% total alcohol)	1890	71
NLD	Netherlands	Wine (% total alcohol)	1890	4
NLD	Netherlands	Beer (% total alcohol)	1929	47
NLD	Netherlands	Spirits (% total alcohol)	1929	45
NLD	Netherlands	Wine (% total alcohol)	1929	8
NLD	Netherlands	Beer (% total alcohol)	1964	48
NLD	Netherlands	Spirits (% total alcohol)	1964	43
NLD	Netherlands	Wine (% total alcohol)	1964	9
NLD	Netherlands	Beer (% total alcohol)	1984	49
NLD	Netherlands	Spirits (% total alcohol)	1984	29
NLD	Netherlands	Wine (% total alcohol)	1984	22
NLD	Netherlands	Beer (% total alcohol)	2014	48
NLD	Netherlands	Spirits (% total alcohol)	2014	17
NLD	Netherlands	Wine (% total alcohol)	2014	35
NZL	New Zealand	Beer (% total alcohol)	1890	32
NZL	New Zealand	Spirits (% total alcohol)	1890	66
NZL	New Zealand	Wine (% total alcohol)	1890	2
NZL	New Zealand	Beer (% total alcohol)	1964	78
NZL	New Zealand	Spirits (% total alcohol)	1964	18
NZL	New Zealand	Wine (% total alcohol)	1964	4
NZL	New Zealand	Beer (% total alcohol)	1984	64
NZL	New Zealand	Spirits (% total alcohol)	1984	20
NZL	New Zealand	Wine (% total alcohol)	1984	17
NZL	New Zealand	Beer (% total alcohol)	2014	43
NZL	New Zealand	Spirits (% total alcohol)	2014	19
NZL	New Zealand	Wine (% total alcohol)	2014	38
NOR	Norway	Beer (% total alcohol)	1964	27
NOR	Norway	Spirits (% total alcohol)	1964	69
NOR	Norway	Wine (% total alcohol)	1964	4
NOR	Norway	Beer (% total alcohol)	1984	34
NOR	Norway	Spirits (% total alcohol)	1984	58
NOR	Norway	Wine (% total alcohol)	1984	9
NOR	Norway	Beer (% total alcohol)	2014	35
NOR	Norway	Spirits (% total alcohol)	2014	36
NOR	Norway	Wine (% total alcohol)	2014	29
SWE	Sweden	Beer (% total alcohol)	1964	39
SWE	Sweden	Spirits (% total alcohol)	1964	52
SWE	Sweden	Wine (% total alcohol)	1964	9
SWE	Sweden	Beer (% total alcohol)	1984	39
SWE	Sweden	Spirits (% total alcohol)	1984	41
SWE	Sweden	Wine (% total alcohol)	1984	20
SWE	Sweden	Beer (% total alcohol)	2014	37
SWE	Sweden	Spirits (% total alcohol)	2014	15
SWE	Sweden	Wine (% total alcohol)	2014	48
CHE	Switzerland	Beer (% total alcohol)	1890	17
CHE	Switzerland	Spirits (% total alcohol)	1890	20
CHE	Switzerland	Wine (% total alcohol)	1890	63
CHE	Switzerland	Beer (% total alcohol)	1929	25
CHE	Switzerland	Spirits (% total alcohol)	1929	27
CHE	Switzerland	Wine (% total alcohol)	1929	49
CHE	Switzerland	Beer (% total alcohol)	1964	38
CHE	Switzerland	Spirits (% total alcohol)	1964	20
CHE	Switzerland	Wine (% total alcohol)	1964	42
CHE	Switzerland	Beer (% total alcohol)	1984	31
CHE	Switzerland	Spirits (% total alcohol)	1984	20
CHE	Switzerland	Wine (% total alcohol)	1984	49
CHE	Switzerland	Beer (% total alcohol)	2014	34
CHE	Switzerland	Spirits (% total alcohol)	2014	19
CHE	Switzerland	Wine (% total alcohol)	2014	47
GBR	United Kingdom	Beer (% total alcohol)	1890	68
GBR	United Kingdom	Spirits (% total alcohol)	1890	30
GBR	United Kingdom	Wine (% total alcohol)	1890	2
GBR	United Kingdom	Beer (% total alcohol)	1929	78
GBR	United Kingdom	Spirits (% total alcohol)	1929	17
GBR	United Kingdom	Wine (% total alcohol)	1929	4
GBR	United Kingdom	Beer (% total alcohol)	1964	81
GBR	United Kingdom	Spirits (% total alcohol)	1964	15
GBR	United Kingdom	Wine (% total alcohol)	1964	4
GBR	United Kingdom	Beer (% total alcohol)	1984	69
GBR	United Kingdom	Spirits (% total alcohol)	1984	20
GBR	United Kingdom	Wine (% total alcohol)	1984	11
GBR	United Kingdom	Beer (% total alcohol)	2014	37
GBR	United Kingdom	Spirits (% total alcohol)	2014	22
GBR	United Kingdom	Wine (% total alcohol)	2014	41
USA	United States	Beer (% total alcohol)	1890	47
USA	United States	Spirits (% total alcohol)	1890	49
USA	United States	Wine (% total alcohol)	1890	4
USA	United States	Beer (% total alcohol)	1929	0
USA	United States	Spirits (% total alcohol)	1929	0
USA	United States	Wine (% total alcohol)	1929	0
USA	United States	Beer (% total alcohol)	1964	48
USA	United States	Spirits (% total alcohol)	1964	44
USA	United States	Wine (% total alcohol)	1964	8
USA	United States	Beer (% total alcohol)	1984	51
USA	United States	Spirits (% total alcohol)	1984	36
USA	United States	Wine (% total alcohol)	1984	13
USA	United States	Beer (% total alcohol)	2014	49
USA	United States	Spirits (% total alcohol)	2014	34
USA	United States	Wine (% total alcohol)	2014	18
